PolicyNumber,CustomerId,DateOfLoss,ClaimReceivedDate,ClaimCause,TotalPaidToDate,Deductible,County,State,EquipmentYear,PolicyEffectiveDate
P-4619-2021,592,2021-09-18,2021-11-16,M&E-Irr,3514.76,1000,Norton,KS,2012,2021-10-29
P-3657-2021,1956,2021-09-17,2021-09-20,Wind-Irr,14855.27,1000,Graham,KS,2011,2021-08-31
P-3069-2021,3729,2021-09-17,2021-09-20,Lightning-Irr,12859.93,1000,Lipscomb,TX,0,2020-10-11
P-3748-2021,4338,2021-09-16,2021-09-21,Wind-Irr,15938.71,1000,Lincoln,NE,0,2020-11-01
P-4246-2021,1909,2021-09-13,2021-09-22,Wind-Irr,32897.26,1000,Bailey,TX,1978,2021-06-11
P-3520-2021,23,2021-09-11,2021-10-01,M&E-Irr,13334.15,1000,Reno,KS,1996,2021-03-10
P-4445-2021,5117,2021-09-09,2021-10-08,Lightning-Irr,74096.75,1000,Hale,TX,2003,2021-05-15
P-3027-2021,3750,2021-09-09,2021-10-20,M&E-Irr,2877.71,2500,Gosper,NE,1996,2021-04-27
P-1282-2021,4803,2021-09-09,2021-12-06,Wind-Irr,32160,1000,Custer,SD,2013,2021-08-02
P-2611-2021,4722,2021-09-08,2021-10-19,Lightning-Irr,2057.4,1000,Cheyenne,NE,2000,2021-05-01
P-1596-2021,2590,2021-09-08,2021-12-09,Lightning-Irr,560.09,1000,Lincoln,NE,2003,2021-08-01
P-852-2021,1472,2021-09-07,2021-09-08,M&E-Irr,15328.53,1000,Sheridan,KS,1987,2021-04-21
P-5533-2021,1501,2021-09-07,2021-10-01,M&E-Irr,32495.1,1000,Red Willow,NE,0,2021-07-12
P-2716-2021,1937,2021-09-06,2021-10-05,Claim Denied,0,1000,Yuma,CO,1998,2021-01-01
P-1207-2021,1899,2021-09-05,2021-09-10,Lightning-Irr,12629,1000,Fillmore,NE,2010,2021-05-28
P-246-2021,1346,2021-09-03,2021-09-06,Wind-Irr,4725,1000,Terry,TX,1994,2021-09-03
P-417-2021,3131,2021-09-03,2021-09-07,Lightning-Irr,20680.5,1000,Kershaw,SC,2018,2020-11-01
P-2526-2021,2286,2021-09-02,2022-02-04,Lightning-Irr,11970.41,10000,Kandiyohi,MN,1999,2021-09-02
P-3680-2021,865,2021-09-01,2021-09-01,Collision-Irr,1336.01,1000,Haskell,KS,2000,2021-08-03
P-5514-2021,2099,2021-09-01,2021-09-01,Collision-Irr,21737.47,1000,Haskell,KS,2016,2021-01-15
P-1417-2021,4470,2021-08-31,2021-12-22,Lightning-Irr,8425.24,1000,Saunders,NE,2016,2021-03-16
P-4581-2021,2822,2021-08-29,2021-08-30,Claim Withdrawn,0,1000,Sedgwick,KS,1989,2021-03-15
P-3885-2021,2838,2021-08-29,2021-08-30,Wind-Irr,74130,1000,Sedgwick,KS,1987,2021-08-09
P-4354-2021,680,2021-08-28,2021-08-31,M&E-Irr,8930.74,1000,Washington,KS,2009,2021-06-05
P-1012-2021,186,2021-08-28,2021-09-28,Lightning-Irr,1919.07,1000,Swift,MN,1978,2021-07-02
P-4834-2021,4943,2021-08-28,2021-09-13,Lightning-Irr,2501.65,1000,Sedgwick,CO,1978,2021-08-28
P-2009-2021,1336,2021-08-26,2021-09-08,Lightning-Irr,5880,1000,Sherman,NE,1992,2021-01-02
P-4729-2021,3882,2021-08-26,2021-10-25,Lightning-Irr,6047.5,1000,Thomas,KS,2011,2021-09-04
P-662-2021,157,2021-08-25,2021-08-26,Collision-Irr,79000,1000,Ford,KS,2000,2020-11-01
P-3450-2021,4096,2021-08-24,2021-08-25,Lightning-Irr,4500.23,1000,Douglas,NE,0,2020-12-31
P-3099-2021,3102,2021-08-24,2021-08-27,M&E-Irr,11658.6,1000,Sheridan,KS,1981,2021-05-05
P-3076-2021,2225,2021-08-24,2021-08-30,Lightning-Irr,2274.95,1000,Saline,NE,2003,2020-10-01
P-744-2021,2793,2021-08-24,2021-11-10,Collision-Irr,21787.2,1000,Graham,KS,1981,2021-09-28
P-4059-2021,3842,2021-08-23,2021-08-27,M&E-Irr,11381.92,1000,Sheridan,KS,1997,2020-10-01
P-2486-2021,4191,2021-08-22,2021-09-09,Lightning-Irr,19135.59,5000,Florence,SC,0,2021-04-01
P-4066-2021,1415,2021-08-21,2021-08-24,Wind-Irr,13704.59,2500,Marquette,WI,2015,2021-07-11
P-263-2021,3388,2021-08-20,2021-08-23,Wind-Irr,22079.42,1000,McPherson,KS,1992,2021-03-13
P-2486-2021,4191,2021-08-20,2021-08-23,Lightning-Irr,9212.38,5000,Clarendon,SC,0,2021-04-01
P-2644-2021,5331,2021-08-19,2021-08-19,M&E-Irr,1092.96,1000,Keith,NE,1988,2020-12-02
P-4042-2021,677,2021-08-19,2021-08-20,Lightning-Irr,4700,1000,Lincoln,NE,2006,2020-10-05
P-2635-2021,3629,2021-08-19,2021-08-23,Lightning-Irr,6142.17,1000,Washington,CO,1995,2021-04-23
P-1077-2021,21,2021-08-19,2021-09-15,Lightning-Irr,1017.92,1000,Yuma,CO,2019,2021-08-15
P-38-2021,2340,2021-08-19,2021-12-10,Collision-Irr,19224.88,2500,null,null,null,2021-05-15
P-3438-2021,672,2021-08-18,2022-03-08,Lightning-Irr,8161.7,1000,Custer,NE,2002,2021-03-17
P-1393-2021,3365,2021-08-16,2021-08-24,Lightning-Irr,8487,1000,McPherson,KS,0,2021-03-01
P-180-2021,5329,2021-08-16,2021-09-07,Lightning-Irr,480.9,2500,Kearney,NE,2005,2021-06-16
P-4359-2021,3923,2021-08-16,2021-09-14,M&E-Irr,6844.68,1000,Gage,NE,0,2021-03-13
P-1643-2021,1715,2021-08-16,2021-09-16,Claim Denied,0,1000,Haskell,TX,2011,2021-05-19
P-5446-2021,925,2021-08-16,2021-12-20,Wind-Irr,5213.53,1000,Chase,NE,1980,2020-12-24
P-3471-2021,4415,2021-08-15,2021-08-24,Lightning-Irr,7684.33,1000,Curry,NM,1974,2021-08-04
P-4385-2021,1457,2021-08-15,2021-09-01,Lightning-Irr,1813,1000,Buffalo,NE,1995,2020-09-01
P-3081-2021,2712,2021-08-14,2021-08-16,Vandalism-Irr,2615.03,1000,Reno,KS,2009,2021-03-17
P-4041-2021,3698,2021-08-13,2021-08-31,M&E-Irr,4987.5,1000,Comanche,TX,2018,2021-05-07
P-2153-2021,2813,2021-08-12,2021-08-13,Collision-Irr,6010.39,1000,Saunders,NE,2010,2021-08-12
P-5003-2021,1542,2021-08-12,2021-08-23,Lightning-Irr,3867.58,2500,Pemiscot,MO,0,2021-02-27
P-2261-2021,3710,2021-08-12,2021-09-04,Hail-Irr,312.8,1000,Sheridan,KS,2000,2021-02-13
P-1703-2021,3978,2021-08-09,2021-08-09,Lightning-Irr,3897.79,1000,Dawson,NE,1996,2020-10-03
P-2399-2021,2801,2021-08-09,2021-08-20,Wind-Irr,29106.13,1000,Dyer,TN,2013,2021-07-01
P-4791-2021,3744,2021-08-09,2022-01-20,Hail-Irr,7622.62,1000,Webster,NE,0,2021-06-01
P-4707-2021,1624,2021-08-08,2021-08-09,M&E-Irr,8081.24,1000,Thayer,NE,2003,2020-10-18
P-65-2021,5298,2021-08-08,2021-08-11,Lightning-Irr,22324.56,2500,Todd,SD,1998,2021-02-14
P-4582-2021,119,2021-08-06,2021-08-09,M&E-Irr,13706.6,1000,Hamilton,NE,2012,2021-03-04
P-1170-2021,3567,2021-08-06,2021-08-09,Lightning-Irr,7467.31,1000,Lincoln,NE,0,2021-02-24
P-2907-2021,5144,2021-08-06,2021-12-20,Lightning-Irr,1941.18,1000,Colfax,NE,2008,2021-02-25
P-1077-2021,21,2021-08-05,2021-08-09,M&E-Irr,10300,1000,Yuma,CO,2007,2020-08-15
P-507-2021,208,2021-08-05,2021-08-23,Lightning-Irr,3770.5,1000,Dawson,NE,1999,2021-05-26
P-4138-2021,3325,2021-08-04,2021-08-04,Collision-Irr,1347.76,1000,York,NE,1979,2021-03-02
P-145-2021,4236,2021-08-04,2021-08-06,Lightning-Irr,714,2500,Fillmore,NE,2010,2021-01-19
P-4208-2021,3285,2021-08-04,2021-08-18,Lightning-Irr,5060,1000,Mason,IL,0,2021-05-02
P-5274-2021,1699,2021-08-02,2021-08-03,Collision-Irr,3803.56,1000,Lubbock,TX,2000,2021-07-15
P-289-2021,934,2021-08-02,2021-08-06,Wind-Irr,33725.13,2500,Turner,GA,2019,2021-03-12
P-2494-2021,2862,2021-08-02,2021-08-23,Wind-Irr,4929.05,1000,Hamilton,NE,1982,2021-01-04
P-1810-2021,2303,2021-08-01,2021-08-05,Lightning-Irr,7518.8,1000,Miller,GA,0,2021-04-12
P-2972-2021,3029,2021-08-01,2021-08-05,Lightning-Irr,14553.75,1000,Jackson,OK,0,2021-04-02
P-5027-2021,2672,2021-08-01,2021-09-29,Lightning-Irr,4355.81,1000,Greeley,NE,2007,2021-04-10
P-1026-2021,4235,2021-07-31,2021-08-03,Lightning-Irr,7671.49,1000,Stanton,NE,2019,2021-07-02
P-2073-2021,2394,2021-07-30,2021-08-03,M&E-Irr,75000,1000,Fillmore,NE,1974,2021-06-27
P-5089-2021,781,2021-07-30,2021-08-05,Lightning-Irr,10227.43,1000,Custer,NE,1975,2021-04-01
P-3722-2021,4410,2021-07-30,2021-08-16,Collision-Irr,15959.95,1000,Red Willow,NE,2002,2021-07-30
P-1432-2021,3393,2021-07-29,2021-08-03,Lightning-Irr,8977.03,1000,Lincoln,NE,2010,2021-05-18
P-2330-2021,1895,2021-07-27,2021-07-28,Collapse-Irr,12911.2,1000,Adams,NE,1989,2021-06-04
P-2511-2021,1468,2021-07-27,2021-07-29,Collision-Irr,25595,1000,Dakota,MN,2012,2021-03-15
P-1957-2021,172,2021-07-26,2021-07-27,M&E-Irr,5097.57,2500,Lincoln,NE,2000,2021-07-26
P-3294-2021,4782,2021-07-26,2021-07-28,Wind-Irr,85126.91,1000,Roosevelt,NM,2000,2021-04-25
P-3864-2021,1151,2021-07-26,2021-07-29,M&E-Irr,19318.2,1000,Jackson,OK,1985,2021-04-29
P-4771-2021,5123,2021-07-26,2021-08-11,Wind-Irr,20957.31,1000,Hudspeth,TX,2020,2021-06-23
P-5515-2021,1009,2021-07-23,2021-08-02,Wind-Irr,40284.31,1000,Fremont,IA,2013,2021-03-04
P-1479-2021,3702,2021-07-23,2021-09-03,Lightning-Irr,4518.71,1000,Chase,NE,2011,2020-09-24
P-2555-2021,4867,2021-07-21,2021-07-21,M&E-Irr,50537.83,1000,Thayer,NE,0,2021-05-04
P-4359-2021,3923,2021-07-21,2021-07-22,M&E-Irr,4756.64,1000,Gage,NE,1997,2021-03-13
P-1763-2021,2449,2021-07-20,2021-08-09,M&E-Irr,7852.54,1000,Sherman,NE,2021,2021-07-20
P-3499-2021,415,2021-07-20,2021-10-12,M&E-Irr,3690.8,1000,Jewell,KS,0,2021-10-11
P-3868-2021,1551,2021-07-19,2021-07-20,M&E-Irr,5729.68,1000,Lincoln,NE,1986,2020-07-22
P-3493-2021,2282,2021-07-19,2021-07-20,Lightning-Irr,3113.06,1000,Marshall,KS,2004,2021-04-13
P-3438-2021,672,2021-07-17,2021-07-19,M&E-Irr,20924.06,1000,Custer,NE,2007,2021-03-17
P-4033-2021,2089,2021-07-17,2021-07-22,Lightning-Irr,7998.51,1000,Saunders,NE,0,2021-03-13
P-2644-2021,5331,2021-07-17,2021-09-20,Lightning-Irr,9198.52,1000,Perkins,NE,1996,2020-12-02
P-2035-2021,1445,2021-07-15,2021-07-15,Claim Withdrawn,0,1000,Greeley,NE,2017,2020-08-05
P-2011-2021,3829,2021-07-15,2021-07-16,Wind-Irr,90031.75,5000,Mason,IL,0,2020-11-18
P-5184-2021,4771,2021-07-14,2021-07-16,Lightning-Irr,10640.97,1000,Rock,NE,2007,2021-05-12
P-2275-2021,5237,2021-07-13,2021-07-14,Collision-Irr,24562.31,1000,Graham,KS,1979,2021-05-15
P-2477-2021,1332,2021-07-12,2021-10-07,Lightning-Irr,2067,1000,Pierce,NE,1979,2021-05-01
P-711-2021,615,2021-07-11,2021-07-13,Wind-Irr,1456.48,1000,Ness,KS,2001,2021-07-11
P-2950-2021,2318,2021-07-10,2021-07-14,M&E-Irr,82159.8,2500,Pope,MN,1980,2020-09-01
P-4223-2021,2818,2021-07-10,2021-08-04,Lightning-Irr,6786,1000,Norton,KS,2016,2021-04-27
P-3174-2021,2818,2021-07-10,2021-08-04,Lightning-Irr,6786,1000,Norton,KS,2014,2021-05-27
P-3618-2021,3959,2021-07-10,2021-08-11,Lightning-Irr,5075,1000,Kearny,KS,2013,2021-04-16
P-5584-2021,2184,2021-07-09,2021-07-09,Lightning-Irr,874.2,1000,Buffalo,NE,2014,2021-03-01
P-3742-2021,541,2021-07-09,2021-07-09,Wind-Irr,1514.31,1000,Sherman,KS,1985,2020-07-16
P-4873-2021,1532,2021-07-09,2021-07-12,Wind-Irr,36245.55,1000,Hall,NE,2006,2021-04-04
P-5329-2021,4148,2021-07-09,2021-07-12,Wind-Irr,54375.42,2500,Hamilton,NE,2021,2021-04-01
P-5367-2021,1438,2021-07-09,2021-07-12,Wind-Irr,15141.08,1000,Hamilton,NE,2012,2021-05-24
P-3949-2021,1306,2021-07-09,2021-07-12,Wind-Irr,9855.37,1000,Clay,NE,2020,2021-03-08
P-2758-2021,2908,2021-07-09,2021-07-12,Wind-Irr,81982.13,1000,York,NE,2008,2021-01-05
P-507-2021,208,2021-07-09,2021-07-12,Wind-Irr,65000,1000,Buffalo,NE,2010,2021-05-26
P-3865-2021,4429,2021-07-09,2021-07-12,Wind-Irr,32777.39,1000,Fillmore,NE,2020,2020-08-07
P-3938-2021,1757,2021-07-09,2021-07-12,Wind-Irr,65000,1000,Hamilton,NE,1978,2021-02-22
P-2981-2021,1241,2021-07-09,2021-07-13,Lightning-Irr,2620,1000,Hayes,NE,1998,2020-10-16
P-2732-2021,3603,2021-07-09,2021-07-13,Wind-Irr,3153.78,1000,Hamilton,NE,2008,2021-05-12
P-1546-2021,2166,2021-07-09,2021-07-13,Wind-Irr,118200,1000,Hall,NE,1995,2020-08-10
P-1039-2021,1837,2021-07-09,2021-07-14,Wind-Irr,3244.97,1000,Hamilton,NE,2012,2021-01-01
P-2937-2021,2014,2021-07-09,2021-07-14,Wind-Irr,11073,1000,Clay,NE,2011,2021-02-21
P-4604-2021,4916,2021-07-09,2021-07-15,Wind-Irr,90724.15,1000,Hamilton,NE,2013,2020-12-06
P-1309-2021,2710,2021-07-09,2021-07-19,Claim Withdrawn,0,1000,York,NE,1974,2021-06-20
P-1342-2021,1505,2021-07-09,2021-07-21,Wind-Irr,173148.38,1000,Hamilton,NE,2012,2021-05-01
P-3900-2021,2658,2021-07-09,2021-07-27,Lightning-Irr,5324.16,1000,Colfax,NE,2004,2021-04-10
P-5610-2021,519,2021-07-09,2021-09-24,Lightning-Irr,1090,5000,Fillmore,NE,2005,2021-05-15
P-3792-2021,1460,2021-07-09,2021-11-01,Wind-Irr,10773,1000,Hamilton,NE,0,2021-02-13
P-534-2021,3258,2021-07-08,2021-08-16,Collision-Irr,2603.89,1000,Cuming,NE,2018,2021-01-23
P-460-2021,3508,2021-07-08,2021-08-31,Claim Denied,0,1000,Holt,NE,2007,2020-10-30
P-3722-2021,4410,2021-07-08,2021-09-13,Lightning-Irr,7426.17,1000,Red Willow,NE,2002,2021-07-08
P-2511-2021,1468,2021-07-06,2021-07-07,M&E-Irr,26395.26,1000,Dakota,MN,2004,2021-03-15
P-5329-2021,4148,2021-07-05,2021-07-06,M&E-Irr,48149.74,2500,Clay,NE,2004,2021-04-01
P-4097-2021,3153,2021-07-05,2021-07-09,Claim Withdrawn,0,1000,Prowers,CO,2014,2021-03-12
P-5559-2021,719,2021-07-04,2021-07-06,Wind-Irr,52456.64,2500,Gray,KS,2019,2020-07-31
P-4029-2021,996,2021-07-04,2021-07-07,Wind-Irr,79100,1000,Armstrong,TX,2004,2020-08-11
P-3600-2021,2137,2021-07-03,2021-07-06,Collapse-Irr,16988.36,1000,Gray,KS,1994,2020-12-31
P-507-2021,208,2021-07-03,2021-07-09,Collision-Irr,6753.84,1000,Buffalo,NE,2011,2021-05-26
P-40-2021,2818,2021-07-03,2021-08-04,Lightning-Irr,5947.5,1000,Norton,KS,2017,2021-03-31
P-4095-2021,325,2021-07-02,2021-07-07,Wind-Irr,12793.65,5000,Castro,TX,1996,2021-07-02
P-4944-2021,2673,2021-07-02,2021-07-02,Collision-Irr,18352.49,1000,Kearney,NE,0,2020-07-18
P-1109-2021,40,2021-07-02,2021-07-14,M&E-Irr,5336.01,1000,Thayer,NE,2012,2021-04-12
P-4604-2021,4916,2021-07-02,2021-12-15,Lightning-Irr,28888.36,1000,York,NE,2012,2021-12-06
P-9-2021,479,2021-06-30,2021-07-14,Lightning-Irr,2434.94,1000,York,NE,1983,2021-04-11
P-2771-2021,4694,2021-06-29,2021-06-29,Claim Denied,0,1000,Keith,NE,1975,2021-03-18
P-810-2021,4679,2021-06-28,2021-06-28,M&E-Irr,6559.9,5000,Baca,CO,0,2021-05-12
P-4472-2021,2504,2021-06-28,2021-06-28,Collision-Irr,11946.93,1000,Saline,NE,2020,2021-04-01
P-1765-2021,755,2021-06-28,2021-06-28,Wind-Irr,78993.15,1000,Swisher,TX,2013,2021-03-14
P-3076-2021,2225,2021-06-28,2021-06-28,Collision-Irr,3411.3,1000,Saline,NE,2006,2020-10-01
P-5533-2021,1501,2021-06-26,2021-07-07,M&E-Irr,55961.5,1000,Red Willow,NE,0,2020-07-12
P-3751-2021,3970,2021-06-26,2021-07-20,Wind-Irr,18759.21,1000,Lamb,TX,1990,2021-05-14
P-3495-2021,2441,2021-06-25,2021-06-28,Lightning-Irr,4411.9,1000,Cuming,NE,2000,2020-07-01
P-1088-2021,6,2021-06-25,2021-06-28,Wind-Irr,36610.72,2500,Sherman,NE,2016,2021-03-08
P-2223-2021,4182,2021-06-25,2021-06-29,Lightning-Irr,11933.63,1000,Fillmore,NE,2001,2021-06-05
P-3634-2021,4053,2021-06-25,2021-07-21,Wind-Irr,523.48,1000,Boone,NE,2000,2021-06-03
P-289-2021,934,2021-06-25,2021-08-06,Lightning-Irr,14245,2500,Crisp,GA,0,2021-03-12
P-3381-2021,1094,2021-06-24,2021-06-24,Wind-Irr,58836,1000,Platte,NE,2007,2020-12-06
P-3658-2021,2082,2021-06-24,2021-06-24,Collision-Irr,20845.72,2500,Lee,SC,2011,2020-09-18
P-3426-2021,379,2021-06-24,2021-06-25,Animal-Irr,2079.04,1000,Holt,NE,1981,2020-10-11
P-4283-2021,2495,2021-06-24,2021-06-25,Wind-Irr,55191.79,1000,Moore,TX,1994,2020-08-04
P-5401-2021,5267,2021-06-24,2021-06-25,Wind-Irr,71053.07,1000,Beaver,OK,0,2020-08-04
P-4343-2021,4214,2021-06-24,2021-06-25,Wind-Irr,5793,1000,Thomas,KS,2011,2021-03-20
P-132-2021,3218,2021-06-24,2021-06-28,Lightning-Irr,2379.05,1000,Wheeler,NE,2008,2021-04-20
P-12-2021,3355,2021-06-24,2021-07-01,Lightning-Irr,7676.75,1000,Wallace,KS,1987,2021-03-13
P-5457-2021,3752,2021-06-24,2021-07-30,Flood-Irr,13202.02,1000,Richardson,NE,1985,2021-07-09
P-3174-2021,2818,2021-06-24,2021-08-04,Lightning-Irr,5947.5,1000,Norton,KS,2014,2021-05-27
P-98-2021,185,2021-06-23,2021-06-24,Claim Withdrawn,0,1000,Holt,NE,0,2021-01-15
P-4575-2021,1353,2021-06-22,2021-06-23,Wind-Irr,180001.31,10000,Hamilton,NE,2017,2021-03-02
P-9-2021,479,2021-06-22,2021-06-23,Wind-Irr,47747.43,1000,York,NE,1985,2021-04-11
P-1619-2021,1028,2021-06-22,2021-06-24,Wind-Irr,89968.12,2500,Merrick,NE,2016,2021-02-15
P-1197-2021,1524,2021-06-22,2021-06-30,Lightning-Irr,2108.72,1000,Antelope,NE,2014,2020-10-30
P-3342-2021,3376,2021-06-22,2021-07-12,Wind-Irr,8174.21,1000,York,NE,1990,2021-01-24
P-975-2021,2356,2021-06-22,2021-07-27,Wind-Irr,20454.65,1000,Lamb,TX,1980,2020-07-28
P-5568-2021,847,2021-06-21,2021-09-20,Lightning-Irr,5635.02,1000,Dawson,NE,0,2021-08-22
P-4834-2021,4943,2021-06-21,2021-09-13,Lightning-Irr,553.82,1000,Phillips,CO,2014,2021-06-21
P-2950-2021,2318,2021-06-20,2021-06-23,Wind-Irr,129718.07,2500,Pope,MN,1969,2020-09-01
P-3124-2021,2393,2021-06-20,2021-06-25,Claim Withdrawn,0,1000,Pratt,KS,0,2021-04-25
P-4619-2021,592,2021-06-19,2021-06-21,Wind-Irr,17579.07,1000,Norton,KS,2012,2020-10-29
P-5014-2021,1631,2021-06-19,2021-06-22,Wind-Irr,46760.4,1000,Sheridan,KS,1990,2020-09-20
P-852-2021,1472,2021-06-19,2021-06-22,Wind-Irr,39500,1000,Sheridan,KS,1976,2021-04-21
P-323-2021,142,2021-06-19,2021-06-22,Wind-Irr,74000,1000,Sheridan,KS,1976,2021-01-05
P-4601-2021,2883,2021-06-19,2021-06-24,Wind-Irr,35594.11,1000,Sheridan,KS,1998,2021-03-17
P-405-2021,5065,2021-06-19,2021-06-24,Wind-Irr,71500,1000,Graham,KS,2000,2021-05-22
P-4086-2021,2723,2021-06-19,2021-06-24,Wind-Irr,56917.18,1000,Graham,KS,0,2021-06-16
P-2410-2021,1025,2021-06-19,2021-06-24,Wind-Irr,85300,1000,Sheridan,KS,0,2021-05-24
P-857-2021,3579,2021-06-19,2021-06-29,Lightning-Irr,3472.95,1000,Custer,NE,1981,2020-08-01
P-4491-2021,4500,2021-06-19,2021-07-02,Wind-Irr,25413.78,1000,Sheridan,KS,1976,2021-05-15
P-3099-2021,3102,2021-06-19,2021-07-06,Wind-Irr,49000,1000,Sheridan,KS,2006,2021-05-05
P-4608-2021,4331,2021-06-18,2021-06-18,Collision-Irr,1827.95,1000,Republic,KS,2010,2021-05-04
P-616-2021,4625,2021-06-18,2021-06-18,M&E-Irr,29577,1000,Phillips,KS,2000,2021-05-17
P-121-2021,881,2021-06-16,2021-06-17,Collapse-Irr,11887.7,1000,Jefferson,NE,2006,2020-08-23
P-4764-2021,3369,2021-06-16,2021-07-06,Lightning-Irr,2798,1000,Fillmore,NE,2012,2021-05-14
P-145-2021,4236,2021-06-16,2021-07-06,Claim Withdrawn,0,2500,Fillmore,NE,2015,2021-01-19
P-2921-2021,2816,2021-06-16,2021-07-16,Claim Withdrawn,0,1000,Thayer,NE,2017,2021-05-24
P-5234-2021,5027,2021-06-15,2021-06-15,Lightning-Irr,21629.37,1000,Yuma,CO,1998,2021-06-13
P-448-2021,3259,2021-06-15,2021-06-17,M&E-Irr,7685.23,1000,Dodge,NE,1991,2021-02-26
P-4147-2021,111,2021-06-15,2021-06-24,Lightning-Irr,3823.04,1000,Yuma,CO,2017,2021-05-21
P-541-2021,5039,2021-06-15,2021-06-29,Claim Withdrawn,0,2500,Baker,GA,2013,2020-08-17
P-1948-2021,3302,2021-06-15,2021-07-21,Wind-Irr,5236.55,2500,Dundy,NE,1982,2021-06-18
P-5536-2021,4578,2021-06-15,2021-09-21,Wind-Irr,51094.94,1000,Thomas,NE,1972,2021-07-15
P-4792-2021,3745,2021-06-14,2021-06-15,M&E-Irr,16574,1000,Merrick,NE,2002,2021-03-09
P-1460-2021,4240,2021-06-13,2021-06-14,M&E-Irr,11777.63,5000,Howard,NE,2011,2021-06-13
P-2768-2021,2233,2021-06-13,2021-06-17,Wind-Irr,73000,1000,Carson,TX,2012,2021-01-19
P-2929-2021,1125,2021-06-13,2021-07-07,M&E-Irr,44819.71,1000,Keith,NE,1972,2021-03-09
P-17-2021,2635,2021-06-12,2021-06-22,Wind-Irr,15932.8,1000,Lamb,TX,1985,2021-06-01
P-2634-2021,2379,2021-06-12,2021-08-13,Lightning-Irr,2588.79,1000,Johnson,NE,2011,2020-11-19
P-5308-2021,967,2021-06-11,2021-06-21,Collision-Irr,50000,2500,null,null,null,2020-08-07
P-5225-2021,3670,2021-06-10,2021-06-10,M&E-Irr,4208.26,1000,Hamilton,NE,1980,2021-06-10
P-1747-2021,4511,2021-06-09,2021-06-09,Wind-Irr,6321,1000,Gaines,TX,2009,2021-06-09
P-3697-2021,1589,2021-06-09,2021-06-16,Fire-Irr,4710.9,1000,Tom Green,TX,0,2020-09-02
P-3351-2021,3124,2021-06-09,2022-01-11,Collision-Irr,27217,1000,Early,GA,2014,2021-08-27
P-1659-2021,307,2021-06-08,2021-06-14,Claim Withdrawn,0,5000,Castro,TX,1999,2021-06-08
P-4170-2021,3490,2021-06-08,2021-06-09,Lightning-Irr,21444.7,1000,Lincoln,NE,1985,2020-12-15
P-2785-2021,1108,2021-06-08,2021-06-14,M&E-Irr,10733,1000,Sherman,TX,0,2020-11-02
P-538-2021,3691,2021-06-07,2021-06-07,Lightning-Irr,13564.82,1000,Saunders,NE,0,2021-06-01
P-5198-2021,3513,2021-06-05,2021-06-15,Lightning-Irr,4530.95,1000,Lincoln,NE,1979,2020-09-23
P-4215-2021,4256,2021-06-04,2021-06-04,M&E-Irr,1334.23,1000,Antelope,NE,0,2020-10-15
P-3662-2021,4444,2021-06-04,2021-06-25,Claim Withdrawn,0,1000,Wabaunsee,KS,0,2020-12-11
P-4445-2021,5117,2021-06-02,2021-06-04,Wind-Irr,89104,1000,Hockley,TX,2011,2021-05-15
P-4079-2021,579,2021-06-01,2021-06-04,M&E-Irr,11384.08,2500,Weld,CO,1999,2021-04-22
P-1569-2021,2259,2021-05-31,2021-06-01,Wind-Irr,29461.62,1000,Henry,TN,2012,2020-06-17
P-3133-2021,1626,2021-05-30,2021-07-02,Lightning-Irr,14770.31,1000,Yuma,CO,2009,2021-05-30
P-1561-2021,5042,2021-05-28,2021-06-02,Lightning-Irr,9560.81,1000,Swisher,TX,0,2020-06-09
P-3493-2021,2282,2021-05-28,2021-06-15,Wind-Irr,11796.18,1000,Marshall,KS,2020,2021-04-13
P-4841-2021,4169,2021-05-26,2021-05-27,Wind-Irr,70000,1000,McPherson,KS,2015,2021-02-02
P-2715-2021,839,2021-05-26,2021-05-27,Wind-Irr,77500,1000,Hockley,TX,0,2021-04-19
P-3232-2021,1067,2021-05-26,2021-05-27,Wind-Irr,57105.1,1000,Lamb,TX,2020,2021-04-15
P-2977-2021,177,2021-05-26,2021-05-28,Wind-Irr,82477.5,1000,Hale,TX,1985,2021-05-17
P-1507-2021,2312,2021-05-26,2021-06-02,Wind-Irr,79594.5,1000,Lamb,TX,1999,2020-07-30
P-5188-2021,5161,2021-05-25,2021-05-26,M&E-Irr,5854.99,1000,Douglas,SD,2012,2020-08-05
P-2513-2021,1430,2021-05-24,2021-05-26,Wind-Irr,19574.94,1000,Lincoln,NE,1991,2021-03-12
P-2600-2021,1560,2021-05-21,2021-05-24,Lightning-Irr,8283,1000,Obion,TN,2012,2020-09-12
P-1837-2021,1137,2021-05-20,2021-05-20,Animal-Irr,700.58,1000,Nuckolls,NE,0,2020-12-26
P-1274-2021,4486,2021-05-17,2021-06-16,Lightning-Irr,1189.82,2500,Holt,NE,2014,2020-10-01
P-3776-2021,1432,2021-05-10,2021-06-07,Animal-Irr,18711.13,1000,York,NE,2011,2020-12-30
P-2128-2021,712,2021-05-08,2021-05-10,Wind-Irr,53407.61,1000,Republic,KS,2014,2020-09-21
P-4903-2021,4281,2021-05-06,2021-05-06,Theft-Irr,8120,1000,Kearney,NE,2004,2020-06-09
P-289-2021,934,2021-05-05,2021-05-05,Wind-Irr,84300,2500,Crisp,GA,1994,2021-03-12
P-3200-2021,3945,2021-05-04,2021-05-04,Wind-Irr,9355.83,1000,Lake,TN,2010,2020-06-09
